INSERT INTO champ (Name, Role, Rase) VALUES
('Twitch', 'ADC', 'Plague Rat'),
('Udyr', 'JG', 'Human'),
('Urgot', 'TOP', 'Human'),
('Varus', 'ADC', 'Darkin'),
('Vayne', 'ADC', 'Human'),
('Veigar', 'MID', 'Yordle'),
('Vel''Koz', 'SUP', 'Voidborn'),
('Vex', 'MID', 'Yordle'),
('Vi', 'JG', 'Human'),
('Viego', 'JG', 'Wraith'),
('Viktor', 'MID', 'Human'),
('Volivear', 'TOP/JG', 'Spirit God'),
('Warwick', 'JG', 'Human'),
('Wukong', 'TOP', 'Vastaya'),
('Xayah', 'ADC', 'Vastaya'),
('Xerath', 'SUP', 'God-Warrior'),
('Xin Zhao', 'JG', 'Human'),
('Yasuo', 'MID', 'Human'),
('Yone', 'MID', 'Human'),
('Yorick', 'TOP', 'Human'),
('Yuumi', 'SUPP', 'Cat'),
('Zac', 'JG', 'Golem'),
('Zed', 'MID', 'Human'),
('Ziggs', 'MID/ADC', 'Yordle'),
('Zilean', 'SUP', 'Human'),
('Zoe', 'MID', 'Human'),
('Zyra', 'SUP', 'Unknown')
